,State,Date,Case,Population,Case_1m,Daily_Case,Daily_Case_1m,Daily_Case_1m_sm,Daily_Case_1m_Change,Daily_Case_1m_RoC,retail,grocery,parks,transit,workplace,residential,location_name,location_id,peak_bed_day_mean,peak_bed_day_lower,peak_bed_day_upper,peak_icu_bed_day_mean,peak_icu_bed_day_lower,peak_icu_bed_day_upper,peak_vent_day_mean,peak_vent_day_lower,peak_vent_day_upper,all_bed_capacity,icu_bed_capacity,all_bed_usage,icu_bed_usage,available_all_nbr,available_icu_nbr,travel_limit_start_date,travel_limit_end_date,stay_home_start_date,stay_home_end_date,educational_fac_start_date,educational_fac_end_date,any_gathering_restrict_start_date,any_gathering_restrict_end_date,any_business_start_date,any_business_end_date,all_non-ess_business_start_date,all_non-ess_business_end_date,stay_home_days,non_essential_closed_days
10,Alabama,2020-03-05,0,4903185.0,0.0,0,0.0,0.0,0.0,0.0,10.105263157894736,6.09375,-1.0,4.409090909090909,1.5735294117647058,0.7948717948717948,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
11,Alabama,2020-03-06,0,4903185.0,0.0,0,0.0,0.0,0.0,0.0,9.147540983606557,1.578125,27.357142857142858,9.636363636363637,1.75,-1.0789473684210527,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
12,Alabama,2020-03-07,0,4903185.0,0.0,0,0.0,0.0,0.0,0.0,14.431034482758621,5.96875,75.81818181818181,19.35,6.784313725490196,-2.6363636363636362,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
13,Alabama,2020-03-08,0,4903185.0,0.0,0,0.0,0.0,0.0,0.0,14.944444444444445,6.919354838709677,57.92307692307692,19.857142857142858,3.34,-1.3333333333333333,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
14,Alabama,2020-03-09,0,4903185.0,0.0,0,0.0,0.0,0.0,0.0,11.75438596491228,6.063492063492063,35.23076923076923,7.5,2.1641791044776117,-1.0,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
15,Alabama,2020-03-10,0,4903185.0,0.0,0,0.0,0.0,0.0,0.0,10.491228070175438,5.682539682539683,21.0,5.181818181818182,0.5735294117647058,0.07692307692307693,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
16,Alabama,2020-03-11,0,4903185.0,0.0,0,0.0,0.0,0.0,0.0,10.666666666666666,6.5,27.083333333333332,6.666666666666667,0.9117647058823529,-0.8461538461538461,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
17,Alabama,2020-03-12,0,4903185.0,0.0,0,0.0,0.33991510960052834,0.33991510960052834,0.03399151096005283,14.210526315789474,18.612903225806452,43.53846153846154,9.954545454545455,1.3432835820895523,-1.3846153846153846,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
18,Alabama,2020-03-13,5,4903185.0,1.019745328801585,5,1.019745328801585,0.47588115344073967,0.13596604384021133,0.013149628638050222,8.095238095238095,28.15625,23.2,7.136363636363637,-0.3235294117647059,-0.1891891891891892,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
19,Alabama,2020-03-14,7,4903185.0,1.4276434603222192,2,0.40789813152063403,0.7478132411211623,0.27193208768042265,0.02595792026440737,7.0344827586206895,28.349206349206348,61.18181818181818,13.55,3.9607843137254903,-0.36363636363636365,Alabama,523,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,2020-08-06,2020-07-13,2020-12-27,17537.0,1525.0,11793.0,1050.0,5744.0,475.0,,,2020-04-04,2020-04-30,2020-03-19,,2020-03-19,,2020-03-19,2020-06-15,2020-03-28,2020-04-30,26,33
